id,subcategory,title,price,popularity
6834,mobile,Micromax Canvas Spark,4999,51936
5530,mobile,Samsung Galaxy Grand Max,12950,48876
4340,mobile,Apple iPhone 6,40999,46198
4804,mobile,Samsung Galaxy Grand Prime,9286,45775
5266,mobile,Micromax Canvas Nitro A311,7769,44273
5629,mobile,Samsung Galaxy E7,15763,40345
4376,mobile,Samsung Galaxy Core 2,5907,36082
6766,mobile,Lenovo A6000 Plus,7499,32727
2439,mobile,Samsung  Galaxy S4,14999,31466
3626,mobile,Apple iPhone 4S 8GB,12368,30996
5042,mobile,Microsoft Lumia 535,6874,29965
3633,mobile,Samsung Galaxy Grand 2,11466,28731
6259,mobile,Micromax Canvas Juice 2,7085,28649
3216,mobile,Apple iPhone 5S,33999,28628
5196,mobile,Samsung Galaxy Core Prime,7416,25586
3028,mobile,Sony Xperia Z Ultra,17849,25405
5342,mobile,YU Yureka,8999,24877
4993,mobile,Samsung Galaxy A5,17723,22201
5275,mobile,Samsung Galaxy S6,37999,20983
6764,mobile,Microsoft Lumia 540 Dual SIM,8652,20533
4408,mobile,Sony Xperia C3,14920,19723
4985,mobile,Micromax Canvas Unite 2 A106 (8GB),5078,18873
6990,mobile,Micromax Unite 3 Q372,5383,18660
5959,mobile,Samsung Galaxy A7,22091,17934
3320,mobile,Samsung  Galaxy S5,22499,17928
5572,mobile,Samsung Galaxy E5,13599,17780
4419,mobile,Xiaomi Mi4,14999,17304
4352,mobile,Nokia X2 Dual SIM,4499,16032
3607,mobile,Samsung Galaxy Note 3,25099,15911
4624,mobile,Nokia Lumia 730,11099,15847
6583,mobile,HTC Desire 626G+,13548,15820
4790,mobile,Micromax Canvas A1,4419,15372
5193,mobile,Samsung Z1 Tizen,4292,15174
5573,mobile,HTC Desire 826,20294,15043
6115,mobile,Lenovo A7000,8999,14925
4483,mobile,Asus  Zenfone 5 (16GB),8902,14710
4882,mobile,Apple iPhone 6 64GB,51499,14686
7081,mobile,Micromax Canvas Nitro 2 E311,9179,14653
3941,mobile,Sony Xperia M2 Dual,12499,14442
6114,mobile,Microsoft Lumia 640 XL,11931,14417
5834,mobile,HTC  Desire 526G Plus,8916,14400
5622,mobile,Lenovo A6000,6659,13803
3595,mobile,Motorola Moto G 2nd Generation (16GB),10999,13566
6119,mobile,Micromax Canvas Fire 4,5354,13414
4359,mobile,Samsung Galaxy Note 4,38899,13085
3888,mobile,Micromax Canvas Knight A350,19999,12309
4208,mobile,Micromax Unite 2 A106,5058,12268
4088,mobile,Samsung  Galaxy S3 Neo,11047,12235
3705,mobile,Samsung  Galaxy Note 3 Neo,17212,11662
5833,mobile,Intex Aqua Power HD,7904,11479
3069,mobile,Sony Xperia C,10069,11372
6942,mobile,Intex Aqua Power Plus,7649,11272
4848,mobile,HTC Desire 816G Dual SIM,14423,11158
3706,mobile,Sony Xperia E1 Dual,5250,11095
5195,mobile,HTC Desire 620G,11478,10557
1597,mobile,Apple iPhone 4S 16GB,20100,10442
5838,mobile,Samsung Galaxy S6 Edge,45500,10431
4805,mobile,Sony Xperia E3 Dual,9299,9895
2999,mobile,Sony Xperia M Dual,6990,9825
3435,mobile,Samsung  Galaxy Star Pro Duos,3893,9725
4747,mobile,Lenovo A536,5343,9673
5018,mobile,HTC Desire 820s,18137,9610
4342,mobile,HTC Desire 616,8969,9606
4415,mobile,Nokia Lumia 530 Dual SIM,4242,9601
5955,mobile,Asus Zenfone 2,12999,9560
4091,mobile,Micromax Canvas Doodle 3 A102,5796,9403
4760,mobile,Apple iPhone 6 Plus,51999,9145
4977,mobile,Huawei Honor 4X,11999,9132
5736,mobile,Samsung Galaxy Grand Neo Plus,7947,8954
3113,mobile,Sony Xperia Z1,23319,8857
4992,mobile,Samsung Galaxy A3,12664,8832
6801,mobile,Lava Iris X1 Atom,4099,8823
4090,mobile,Motorola  Moto E,4999,8585
5147,mobile,Xiaomi Redmi Note 4G,9999,8533
5791,mobile,Samsung Galaxy J1,6197,8378
6198,mobile,Xiaomi Redmi 2,6999,8309
3728,mobile,Nokia Lumia 630,4499,8137
4726,mobile,HTC Desire 820,21250,8130
5909,mobile,Intex Aqua Star II,5014,8066
4363,mobile,Sony Xperia Z3,34415,7986
4597,mobile,Micromax Canvas Fire 2 A104,5245,7827
4056,mobile,Apple iPhone 5C (8 GB),21847,7730
7235,mobile,Sony Xperia M4 Aqua Dual,19304,7720
4722,mobile,Samsung Galaxy S Duos 3 ,5363,7313
5019,mobile,Gionee Marathon M3,9774,7276
4990,mobile,Micromax Canvas Doodle 3 A102 (8 GB),5759,7192
5873,mobile,Sony Xperia E4 Dual,9817,7178
4241,mobile,Sony Xperia T3,13023,7166
6083,mobile,Motorola Moto E (2nd Gen),6999,7058
5974,mobile,Microsoft Lumia 640,8999,6933
3325,mobile,LG  Google Nexus 5,19121,6923
4361,mobile,HTC Desire 516,7513,6745
5144,mobile,Micromax Bolt AD4500,3654,6685
4630,mobile,Nokia 130 Dual SIM,1280,6633
2892,mobile,Nokia 105,837,6593
1765,mobile,Samsung Galaxy S3,17000,6448
6354,mobile,Intex Aqua M5,4162,6378
3504,mobile,Apple iPhone 5S 32GB,40399,6347
4442,mobile,Xiaomi Redmi 1S,5399,6246
3439,mobile,Nokia Lumia 1320,11499,6221
4450,mobile,Micromax Canvas HD Plus A190,6800,6153
4498,mobile,Samsung Galaxy Alpha,20397,6107
5251,mobile,Micromax Canvas Xpress,5541,6078
3379,mobile,Sony Xperia Z2,29899,6024
4127,mobile,Nokia Lumia 630 Dual SIM,4674,6021
5897,mobile,Samsung Galaxy J1 4G,6197,5980
4175,mobile,Nokia 225 Dual Sim,2634,5967
4644,mobile,Micromax Canvas Knight Cameo A290,6374,5872
4120,mobile,OnePlus One,21998,5857
4416,mobile,Asus  Zenfone 5 (8GB),8499,5801
7107,mobile,YU Yuphoria,6999,5780
4513,mobile,Samsung Galaxy Star Advance G350E,4671,5759
4136,mobile,Micromax Canvas 2 Colors A120,6289,5735
3936,mobile,Nokia XL,6197,5700
4734,mobile,Micromax Canvas Nitro A310,10029,5633
7008,mobile,Intex Aqua Star II HD,5602,5603
5839,mobile,HTC Desire 816G Plus Octa Core,15640,5493
7011,mobile,Sony Xperia C4 Dual,24999,5397
4292,mobile,Micromax Canvas Win W121,5490,5374
4290,mobile,Nokia Lumia 638,5499,5370
2996,mobile,Sony Xperia M,8620,5357
1596,mobile,Apple iPhone 4S 32GB,18499,5266
4881,mobile,Apple iPhone 6 Plus 64GB,61449,5181
3818,mobile,Sony Xperia T2 Ultra Dual,18943,5173
5872,mobile,Lenovo P70,13506,5143
4119,mobile,Gionee Pioneer P4,6103,5132
2348,tablet,Apple  iPad Mini,15215,5130
5752,mobile,Lava Iris X1 Grand,6299,5117
5723,mobile,Karbonn Machone Titanium S310,5046,5115
6339,mobile,Intex Aqua HD 5.0,6507,5086
4920,mobile,Panasonic T40,4225,5057
6759,mobile,Motorola Moto E 4G (2nd Gen),7499,4981
6040,mobile,Sony Xperia E4g Dual SIM,10761,4945
4571,mobile,Samsung Guru Music 2,1485,4941
5082,mobile,Panasonic Eluga S,7884,4758
6109,mobile,Intex  Aqua N11,3144,4685
5859,mobile,Lava Iris X8,8555,4659
7233,mobile,Micromax Canvas Doodle 4,7624,4627
2815,mobile,Samsung  Galaxy S4 Mini,13501,4575
5851,mobile,Lava  Iris X1 Mini,4499,4540
4025,tablet,Samsung Galaxy Tab 3 Neo 8GB (Wi-Fi 3G),8244,4515
3736,mobile,Samsung  Galaxy Grand Neo,9349,4472
4884,mobile,Apple iPhone 6 128GB,52000,4431
3939,mobile,Nokia 220,2210,4403
6581,mobile,Xiaomi Mi4 64GB,19999,4398
1128,mobile,Samsung Metro DUOS C3322,2422,4396
3952,mobile,HTC Desire 816,21090,4385
5903,mobile,Samsung Galaxy Core Prime 4G,9799,4366
4774,mobile,Micromax Bolt A064,2999,4334
7113,mobile,Xolo Prime,4460,4269
4803,mobile,Sony Xperia E3,8499,4183
5721,mobile,Microsoft Lumia 435 Dual SIM,4620,4172
6118,mobile,Gionee Elife S7,19844,4146
2615,mobile,BlackBerry Z10,15995,4083
4853,mobile,Micromax Canvas 4 Plus A315,9217,3980
4339,mobile,Micromax Canvas Gold A300,14674,3960
3825,mobile,Sony Xperia T2 Ultra,16857,3956
1846,mobile,Samsung  Galaxy Note 2,23352,3944
5805,mobile,Karbonn  A6 Turbo,3240,3921
4649,mobile,Micromax Canvas XL2 A109,5609,3905
2432,mobile,Sony  Xperia E,4544,3899
4239,mobile,BlackBerry Z3,11729,3851
5024,mobile,Panasonic P55,8292,3829
2678,mobile,Nokia Lumia 520,5800,3823
6584,mobile,Samsung Galaxy S6 64GB,46199,3765
4490,mobile,Lenovo S850,9774,3756
6091,mobile,Micromax Joy X1800,634,3719
6946,mobile,Huawei Honor 4C,11999,3698
4723,mobile,Gionee Elife S5.1,11799,3677
3114,mobile,Nokia Lumia 625,7598,3660
7334,mobile,Micromax Canvas Knight 2,13037,3656
4885,mobile,Apple iPhone 6 Plus 128GB,54700,3649
3673,mobile,Samsung  Galaxy S Duos 2,6922,3618
5785,mobile,HTC  Desire 526G Plus,8925,3539
6838,mobile,Asus Zenfone 2 ZE551ML (4GB RAM 32GB ROM 1.8 GHz),18999,3523
4296,tablet,Samsung  Galaxy Tab 4 7.0 (3G),12499,3522
4235,mobile,Karbonn Titanium Octane Plus,9990,3499
2495,mobile,Sony  Xperia Z,18790,3498
6744,mobile,Micromax X3203,1749,3493
5298,mobile,Intex Aqua Xtreme,11042,3472
7080,tablet,Micromax Canvas Tab P480,6400,3469
2377,mobile,Samsung Guru E1207,1365,3417
3942,mobile,Gionee M2,7522,3408
6761,mobile,Intex Aqua Speed HD,6493,3401
5244,mobile,Intex Aqua Power,6714,3390
1779,mobile,Samsung E1200,944,3386
6038,mobile,Xolo Win Q1000,5799,3375
4378,mobile,Samsung Galaxy Star 2,3934,3372
6020,mobile,Nokia 215,1760,3353
3210,mobile,Apple iPhone 5C,29000,3346
4789,mobile,Karbonn Sparkle V,3999,3321
2862,mobile,Samsung  Galaxy Core,7384,3289
1981,mobile,Samsung Galaxy S Duos,6499,3241
5255,mobile,Intex Aqua 3G Plus,2882,3167
7012,mobile,Huawei Honor Bee,4499,3143
5389,mobile,Gionee  M2,7555,3130
6089,mobile,Sony Xperia M4 Aqua,19344,3030
15,mobile,Apple iPhone 4,12749,3028
3436,mobile,Nokia Lumia 525,5649,3027
5718,mobile,Microsoft Lumia 532,5468,3021
7161,mobile,Intex Cloud M5 II,4699,3001
4463,mobile,Xolo Win Q900s,5397,2956
6945,mobile,Micromax Canvas Play Q355,6052,2940
4637,mobile,Motorola Nexus 6,34999,2924
3119,tablet,Samsung Galaxy Tab 3 T211 8GB (Wi-Fi 3G),8999,2900
1170,mobile,Samsung Galaxy S2 I9100,20050,2855
4422,mobile,Samsung Galaxy Ace NXT,4522,2832
3591,mobile,Apple iPhone 5S 64GB,41999,2820
6949,mobile,Microsoft LUMIA 430 Dual SIM,4620,2781
6124,mobile,Intex Aqua Speed,5864,2759
5124,mobile,Panasonic Eluga I,6459,2751
4280,mobile,Gionee P2S,4044,2742
3824,mobile,Nokia X,4590,2716
5956,mobile,Micromax Canvas Pep,4499,2671
6234,mobile,Karbonn  Titanium Dazzle S201,4484,2658
3892,mobile,Nokia Lumia 930,27999,2642
4108,mobile,Lenovo S660,6184,2623
4857,mobile,Huawei Honor Holly,6880,2616
6988,mobile,Panasonic Eluga L 4G,10349,2615
5282,mobile,Vivo X5 Max,29980,2595
3982,mobile,HTC One (M8),31999,2591
12,mobile,Apple iPhone 3GS 16GB,12179,2579
6763,mobile,HTC Desire 326G,8624,2570
4641,mobile,Panasonic ELUGA A,5674,2569
5011,mobile,Lenovo Vibe X2,14444,2554
4729,mobile,Samsung Galaxy Note Edge,47460,2539
3923,tablet,"Dell Venue 7 16GB (Wi-Fi, 3G)",7550,2517
5163,tablet,Micromax Canvas Tab P666,7479,2510
6765,mobile,Samsung Galaxy S6 Edge 64GB,54699,2499
4516,mobile,Panasonic ELUGA U,11600,2465
6840,mobile,Asus Zenfone 2 ZE551ML (2GB RAM 16GB ROM 1.8 GHz),14999,2445
4725,mobile,Sony Xperia Z3 Compact,31650,2442
3819,mobile,Sony Xperia E1,5211,2414
4662,mobile,Micromax Bolt A065,3051,2405
2902,mobile,Sony  Xperia ZR,15990,2374
3104,mobile,Micromax Bolt X088,636,2366
4642,mobile,Nokia Lumia 830,20600,2361
3049,mobile,Micromax  Canvas 4,8597,2353
4048,mobile,Gionee Elife S5.5,14431,2335
3076,mobile,Nokia Lumia 1020 (EOS),29990,2332
4070,mobile,Motorola Moto X (2nd Gen),21999,2328
5875,mobile,Asus Zenfone C,6235,2318
3733,mobile,LG  G3,28500,2317
2484,mobile,Samsung  Galaxy Grand Duos,11499,2306
4952,mobile,Intex Aqua Y2 Pro,3523,2297
5343,mobile,IBall Andi 4L Pulse,2999,2280
5854,mobile,Lenovo S90,15554,2271
7173,mobile,Micromax Canvas Fire 3 A096,5069,2270
4872,mobile,Karbonn Titanium Wind W4,2719,2254
5153,mobile,Karbonn Titanium S8,4999,2252
4207,mobile,Panasonic P81,14990,2215
5749,mobile,Gionee Pioneer P6,7500,2185
3437,mobile,Micromax Canvas Turbo A250,9161,2171
5004,mobile,Lava Iris Fuel 50,6649,2161
5835,mobile,HTC One M9 Plus,42999,2149
4788,mobile,Spice Dream Uno Mi-498,3999,2148
5836,mobile,LG G4,42999,2136
3447,mobile,Nokia 108 Dual SIM,1539,2134
3303,mobile,Micromax Canvas Bolt A67,3960,2131
4664,mobile,LG G3 Stylus,13077,2119
6164,mobile,Micromax  Bolt Q324,3169,2105
4589,mobile,Xolo 8X-1000,9999,2103
4728,mobile,Lava Iris X5,7490,2102
3581,mobile,Lenovo A369i,3439,2099
6785,mobile,Micromax Bolt S300,2538,2086
5249,mobile,Xolo Omega 5.5,8799,2068
3383,mobile,Samsung Galaxy Trend Duos S7392,5699,2024
4421,mobile,Micromax Canvas Fire A093,4327,2002
7249,mobile,Intex Cloud Power Plus,8599,1993
3839,tablet,"Micromax Funbook P280 4GB (Wi-Fi, 3G via USB Dongle)",3982,1956
4055,mobile,HTC Desire 310,6949,1956
5780,mobile,Intex  Aqua 4.5E,3472,1952
2956,mobile,Samsung  Galaxy Grand Quattro,10659,1936
4410,mobile,Xiaomi Mi 3,17743,1934
3669,mobile,Gionee Elife E7 Mini,12399,1926
6246,tablet,Dell Venue 7 3740 16GB (Wi-Fi 3G),7569,1907
7399,mobile,Micromax Canvas Hue 2,11818,1906
6086,mobile,Micromax Canvas Selfie A255,12300,1904
7141,tablet,IBall Slide i701,4864,1899
1598,mobile,Apple iPhone 4S 64GB,34999,1889
4269,mobile,Xolo Q1200,5799,1887
5928,mobile,Intex Aqua R2,1999,1884
4939,mobile,Xolo One,4759,1877
4341,mobile,HTC One E8 Dual SIM,28152,1874
4233,mobile,Intex Aqua i5 HD,9299,1862
3938,mobile,Nokia X+,4589,1837
5225,mobile,Lava Iris Win1,4000,1837
3730,mobile,Micromax Canvas Blaze MT500,5415,1836
4847,mobile,HTC Desire 820Q,20069,1831
4855,mobile,Intex Aqua Star Power,6290,1820
2635,mobile,Sony  Xperia SP,11249,1815
5289,tablet,Lenovo Tab 2 A7-10 8GB (Wi-Fi),4849,1799
3851,mobile,Micromax Bolt A71,3825,1798
6837,mobile,Lenovo A5000,8510,1796
3305,mobile,Nokia Lumia 1520,33923,1768
5022,mobile,Spice Stellar 518,6099,1754
6724,tablet,Mediatek N966,2549,1744
4060,mobile,Micromax Canvas Juice A177,6079,1707
6214,mobile,Infocus  M2,5049,1705
6289,mobile,HTC One E9+,33198,1703
3608,mobile,LG Google Nexus 5 32GB,23990,1699
5049,mobile,Lenovo A319,4299,1693
4852,mobile,Karbonn Titanium S5 Ultra,5065,1682
4561,mobile,Samsung Metro B312E,1804,1676
3208,mobile,BlackBerry Z30,21150,1667
4168,mobile,HTC Desire 210,6609,1662
7122,mobile,Lenovo S60,12000,1648
1148,mobile,Apple iPhone 4 16GB,26999,1640
3758,mobile,Gionee Pioneer P3,4963,1613
1785,mobile,Sony  Xperia U,11700,1608
1801,mobile,Samsung Omnia M,5798,1607
2485,mobile,Samsung Galaxy Grand Duos,13600,1606
5050,mobile,Karbonn A19 Plus,4690,1604
6832,mobile,Intex Cloud M6,5666,1602
2619,tablet,Samsung Galaxy Tab 2 P3110 Wi-Fi,6999,1600
6287,mobile,Sony Xperia T3 Dual SIM,27990,1585
7375,mobile,Lava Iris X9,10960,1580
4382,mobile,Huawei Honor 6,16999,1580
5033,mobile,HTC One M8 Eye,30999,1568
7304,mobile,Nokia 105 Dual SIM,1030,1568
2433,mobile,Sony  Xperia E Dual,4990,1565
4930,mobile,IBall Enigma Andi 4.5M,6303,1563
2899,mobile,Nokia Asha 501,4019,1561
4469,tablet,Lenovo A7-30 8GB (WiFi 3G),7499,1560
6037,mobile,Vivo  Y28,9990,1557
4417,mobile,Asus Zenfone 6,13850,1539
4071,tablet,HP  Slate 7 Voice Tab 16GB,9996,1525
5440,mobile,Intex Aqua V4,2489,1519
4802,mobile,HTC 310 (1GB RAM),7888,1516
5714,mobile,Micromax Canvas Hue ,8839,1514
5030,mobile,Micromax Canvas 2 Colors A120 (8 GB ROM),6197,1505
4489,mobile,BlackBerry Passport,36499,1488
4468,mobile,Motorola Moto G2,11799,1486
3252,mobile,Sony Xperia Z1 Compact,24899,1483
3899,mobile,Micromax Bolt A24,2136,1477
4021,mobile,Micromax  Canvas Power A96,5939,1470
6071,mobile,Micromax Joy X1850,809,1469
3714,mobile,Micromax Canvas 2.2 A114,6499,1459
4860,mobile,Lenovo A328,4844,1451
4806,mobile,Karbonn Titanium S10,4462,1447
2677,mobile,Nokia Lumia 720,15983,1444
4629,mobile,Karbonn A5 Turbo,2163,1438
3604,mobile,Gionee Elife E7,17957,1433
4452,mobile,LG G3 Beat,12749,1433
4588,tablet,IBall Slide 3G Q7271-IPS20 ,5857,1431
3452,tablet,Apple  iPad Mini 2,21199,1420
6175,mobile,Lava Iris X1 Beats,5999,1387
4169,mobile,Lenovo S650,6500,1372
6186,mobile,Micromax  Bolt D321,4247,1360
4185,mobile,Lenovo S860,10880,1348
4591,mobile,Spice Smart Flo Mi-359,2399,1346
2865,mobile,Sony  Xperia L,10069,1333
5344,tablet,Micromax Canvas Tab P470,6796,1332
3441,mobile,LG G Pro Lite Dual,10242,1331
5335,mobile,Samsung  Metro Duos,3465,1328
2905,mobile,Nokia Lumia 925,20069,1324
4924,tablet,Apple iPad Air 2,29416,1310
6586,mobile,Lava Iris Icon,11098,1310
3121,tablet,Samsung Galaxy Tab 3 T311 16GB (Wi-Fi 3G),13999,1301
7044,mobile,Micromax Bolt D320,3153,1297
2314,mobile,Micromax A110 Canvas 2,8490,1278
4078,mobile,Micromax Canvas Blaze HD EG116,6787,1277
3179,mobile,LG G2,22999,1268
5318,mobile,Acer  Liquid E700,8049,1268
2858,mobile,Micromax  Canvas Doodle A111,8500,1263
7097,mobile,Asus Zenfone 2 ZE551ML (4GB RAM 64GB ROM 2.3 GHz),22999,1262
5874,mobile,Sony Xperia E4,11649,1260
4467,mobile,Xolo Q500s IPS,3799,1256
4081,mobile,Lenovo A526,5200,1255
6272,mobile,Lava  Iris X8,7999,1250
2161,mobile,Nokia Lumia 920,25640,1243
2430,mobile,Nokia Lumia 620,8795,1240
4066,mobile,LG L70,7429,1225
5290,mobile,Panasonic  T41,5999,1215
2397,mobile,Nokia Asha 206,3655,1205
6219,mobile,Lava Iris Fuel 25,5499,1200
5248,mobile,Xolo Omega 5.0,6374,1193
4254,mobile,Xolo A500S IPS,4039,1182
3543,mobile,Lenovo A269i,2124,1179
4135,mobile,Micromax Canvas Elanza 2 A121,7700,1176
4791,tablet,Asus 2014 FE170CG Fonepad 7,7499,1175
3341,mobile,Intex Aqua i7,21900,1174
7244,mobile,Coolpad Dazen 1,9999,1174
4787,mobile,Karbonn A1 Plus Champ,2252,1172
1763,mobile,Sony Xperia P,13549,1170
6852,mobile,Intex Aqua Y2 1GB RAM,4573,1163
2577,mobile,Micromax  Canvas HD A116,10069,1158
4931,mobile,LG L Fino D295,7804,1151
2372,mobile,Samsung Guru Music E1282,1743,1150
1786,mobile,BlackBerry Curve 9320,6499,1143
4022,mobile,Lenovo A680,6199,1142
6153,tablet,Dell Venue 7 3741 8GB (Wi-Fi 3G),6795,1134
2860,mobile,Nokia Asha 210,4531,1130
5787,mobile,IBall Andi 5Q Cobalt Solus,10031,1128
6862,mobile,OnePlus One 16GB,18998,1125
4496,mobile,Panasonic P61,11699,1125
2346,mobile,Nokia Lumia 510,4350,1124
4891,mobile,IBall Andi5 Stallion,5354,1121
4543,mobile,Xolo A550S IPS,4123,1107
5868,mobile,Intex Aqua Q3,5120,1105
3404,mobile,Gionee Elife E6,15850,1099
4509,mobile,LG G3 32GB,31000,1099
6053,mobile,Karbonn  Titanium S15,3025,1098
4065,mobile,IBall Andi 5T COBALT 2,6749,1096
2605,mobile,Micromax A65 Smarty 4.3,3499,1092
5237,mobile,Karbonn Titanium S25 Klick,6459,1091
1985,mobile,Sony Xperia J,6499,1085
7333,mobile,Intex Aqua 4G Plus,8067,1083
6135,tablet,IBall Slide Brace X1 16GB (Wi-Fi 3G),15899,1081
2817,mobile,Samsung Galaxy Mega 6.3 i9200,18199,1077
3236,mobile,Gionee Elife E3,9999,1076
504,mobile,Samsung Guru E1081,991,1075
4883,mobile,HTC Desire EYE,30284,1075
4327,mobile,Micromax Canvas Unite A092,4700,1072
1364,mobile,Micromax E390,2438,1067
7082,tablet,Micromax Canvas Laptab,14990,1066
3530,mobile,Spice M-6110,1999,1063
6220,mobile,Karbonn  Titanium Mach Two,7990,1062
4039,mobile,Micromax Bolt A089,3799,1051
5078,mobile,Micromax X2814,1249,1045
2907,mobile,BlackBerry Q5,12820,1044
4432,mobile,Intex Aqua 3G,3060,1044
2958,mobile,Samsung Galaxy Star,3458,1042
4370,tablet,Samsung  Galaxy Tab S 10.5,33580,1040
2861,tablet,Samsung  Galaxy Tab 3,9799,1035
932,mobile,Motorola Defy,5200,1030
3594,mobile,Lenovo Vibe Z,15790,1028
3672,mobile,HTC Desire 700,18061,1020
5157,tablet,Lenovo A7-30 Tablet 8 GB (WiFi 2G),5825,1015
4727,mobile,Celkon Millennium Glory Q5,4499,1013
4026,mobile,Micromax Canvas Duet 2 EG111,6779,1009
3420,mobile,Gionee Long L800,1818,1003
4397,mobile,Spice Stellar Mi-600,5269,1001
5059,tablet,IBall 6351-Q40,3633,995
4716,mobile,Lava Iris X1 8 GB,12190,988
2244,mobile,HTC 8S,10999,987
2618,mobile,BlackBerry Q10,20621,985
4739,mobile,Karbonn K22 Plus,872,985
4393,mobile,Xolo Q2000L,7793,980
4909,mobile,LG L Bello D335,10890,980
1901,mobile,Sony Xperia Miro,9500,974
4647,mobile,Samsung Galaxy Mega 2,18000,969
3505,mobile,Apple iPhone 5C 32GB,36500,958
4429,mobile,Karbonn Titanium Octane,7990,956
4795,mobile,Lava Iris 250,3999,949
3996,mobile,Motorola Moto X,35999,942
6836,mobile,Gionee Pioneer P4S ,7280,939
4183,mobile,Huawei Honor 3C,8499,935
4947,mobile,Micromax Q25,1449,934
3826,tablet,"Asus Fonepad 7 8GB (Wi-Fi, 3G)",7999,933
4276,tablet,Samsung  Galaxy Tab 4 8.0 (3G),26500,922
4121,mobile,Karbonn Titanium S1 Plus,3306,921
1479,mobile,Samsung Galaxy Note,24143,912
5081,mobile,Intex Aqua Star 5.0,6939,910
3622,mobile,Gionee Pioneer P2,3880,909
3700,mobile,Karbonn Titanium S5 Plus,6889,900
5512,mobile,Micromax X071,736,895
6218,mobile,Lava Iris Fuel 10,6100,894
4470,mobile,Xolo Play 6X 1000,10000,893
4935,mobile,Gionee CTRL V4S,8399,890
7377,tablet,Micromax Canvas Tab P690,8303,879
6797,mobile,Infocus M330,9499,875
3734,mobile,Xolo Q3000,13399,874
4040,mobile,Micromax A94 Canvas Mad,4249,874
5100,mobile,Gionee CTRL V6L,11714,870
3578,mobile,Lenovo A850,7748,869
3335,tablet,UbiSlate  7CZ,3103,864
4413,tablet,Xiaomi Mi Pad 7.9,12999,862
4534,mobile,Micromax Bolt A069,5344,847
5708,tablet,Dell Venue 3000 Series 7 16GB (Wi-Fi),5949,846
3251,mobile,Micromax Canvas Doodle 2 A240,12000,830
4067,mobile,LG L90,9012,829
6121,mobile,BlackBerry Leap,20088,829
3889,mobile,Micromax Canvas Turbo Mini A200,7123,825
6333,mobile,Lava Iris 325 Style,2799,824
4969,mobile,LG L 60i X137,4675,823
4459,mobile,Panasonic T41,4960,822
4080,mobile,Spice Stellar Mi506,4499,821
2627,mobile,HTC One,47500,820
4084,mobile,Xolo Q1010i,9949,818
6841,mobile,Lava Iris Alfa L,7071,817
3668,mobile,Gionee Elife E7 (32 GB),23990,812
4137,mobile,Gionee CTRL V5,8880,807
5230,tablet,Dell Venue 7 3740 (16 GB With Voice Call),6689,807
1848,mobile,Nokia Asha 305,3290,804
7307,mobile,Panasonic Eluga S Mini,8099,800
